"","Human_45_hsa","Human_47_hsa"
"hsa-miR-629-5p",7,10
"hsa-miR-148a-5p",0,16
"hsa-miR-320c",0,15
"hsa-miR-4433b-3p",0,15
"hsa-miR-141-3p",11,3
"hsa-miR-381-3p",7,7
"hsa-miR-1180-3p",2,12
"hsa-miR-1468-5p",5,9
"hsa-miR-433-3p",3,10
"hsa-miR-432-5p",0,13
"hsa-miR-134-5p",0,13
"hsa-miR-5189-5p",9,4
"hsa-miR-10a-3p",10,3
"hsa-miR-361-3p",8,5
"hsa-miR-1260b",3,9
"hsa-miR-132-3p",7,5
"hsa-miR-194-5p",6,5
"hsa-miR-129-5p",0,11
"hsa-let-7i-3p",0,11
"hsa-miR-203a-3p",6,5
"hsa-miR-195-5p",8,3
"hsa-miR-125a-3p",0,11
"hsa-let-7b-3p",6,5
"hsa-miR-3605-5p",3,7
"hsa-miR-4482-3p",0,10
"hsa-miR-483-3p",10,0
"hsa-miR-1260a",3,7
"hsa-miR-15b-5p",5,5
"hsa-miR-96-5p",10,0
"hsa-miR-766-5p",0,10
"hsa-miR-320d",6,3
"hsa-miR-627-5p",3,6
"hsa-miR-6511b-3p",9,0
"hsa-miR-941",5,4
"hsa-miR-589-3p",7,2
"hsa-miR-374a-3p",8,1
"hsa-miR-378c",3,5
"hsa-miR-628-3p",0,8
"hsa-miR-6529-5p",0,8
"hsa-miR-28-5p",0,8
"hsa-miR-6509-5p",0,8
"hsa-miR-30d-3p",0,8
"hsa-miR-3120-3p",6,1
"hsa-miR-483-5p",4,3
"hsa-miR-326",0,7
"hsa-miR-10527-5p",4,3
"hsa-miR-331-5p",0,7
"hsa-miR-136-3p",0,7
"hsa-miR-497-5p",5,2
"hsa-miR-6866-5p",0,7
"hsa-miR-454-3p",3,4
"hsa-miR-3127-5p",7,0
"hsa-miR-10399-5p",0,7
"hsa-miR-27b-5p",7,0
"hsa-miR-450b-5p",1,6
"hsa-miR-3605-3p",0,6
"hsa-miR-543",3,3
"hsa-miR-4511",0,6
"hsa-miR-3177-3p",0,6
"hsa-miR-324-3p",0,6
"hsa-miR-4732-5p",4,2
"hsa-miR-122-3p",6,0
"hsa-miR-181d-5p",2,4
"hsa-miR-15b-3p",0,6
"hsa-miR-340-3p",4,2
"hsa-miR-30c-2-3p",0,6
"hsa-miR-335-3p",6,0
"hsa-miR-3150b-3p",0,6
"hsa-miR-873-3p",0,6
"hsa-miR-221-5p",4,2
"hsa-miR-98-3p",0,6
"hsa-miR-505-3p",2,4
"hsa-miR-17-5p",0,5
"hsa-miR-19a-3p",3,2
"hsa-miR-127-5p",0,5
"hsa-miR-133a-3p",0,5
"hsa-miR-99b-3p",0,5
"hsa-miR-512-3p",0,5
"hsa-miR-128-1-5p",0,5
"hsa-miR-218-1-3p",0,5
"hsa-miR-5683",2,3
"hsa-miR-183-5p",2,3
"hsa-miR-10399-3p",0,5
"hsa-miR-500a-3p",1,4
"hsa-miR-34a-5p",0,4
