"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-miR-199b-3p",670.377870611851,0.994060575735318,0.255480884694983,3.89093914764747,9.98569758958375e-05,0.000953896901320764
"hsa-let-7d-5p",494.574471700226,0.659016309844871,0.170652033927997,3.86175479234505,0.000112575525071372,0.00104781834874123
"hsa-miR-199a-3p",1356.72993061891,0.977693707904439,0.254575772930304,3.84048213484991,0.000122792908708236,0.00111434564652724
"hsa-let-7f-5p",8403.97807598665,0.696949281879441,0.187136155548549,3.7242898350481,0.000195865801608163,0.00164091247060136
"hsa-miR-338-3p",34.8788988589712,-0.634208754352957,0.170467370290749,-3.72041143868913,0.000198898481285014,0.00164091247060136
"hsa-miR-30c-5p",799.850128274647,-0.662269463255021,0.180691067277553,-3.66520311841277,0.000247142356728927,0.00195027555418697
"hsa-let-7a-5p",3487.3133199023,0.666684009739516,0.184971852528382,3.60424573050767,0.000313060761841411,0.00236752201142567
"hsa-miR-199b-5p",152.454685772308,0.98710740402044,0.282932549808906,3.48884355895827,0.000485114973267363,0.00338647567877024
"hsa-miR-144-5p",249.266518132828,0.82687997078648,0.257137737576851,3.21570835373532,0.0013012299849204,0.00774338499223124
"hsa-miR-16-2-3p",48.3991899394319,0.746196108504376,0.235074260622897,3.17429950232371,0.00150198619055625,0.00838801518726028
"hsa-miR-30b-5p",340.465835539807,-0.60136311479964,0.190396972061169,-3.15846994986055,0.00158599659431595,0.00872298126873775
"hsa-let-7b-5p",791.728431790443,0.65015411676114,0.214379304310931,3.03272799046951,0.00242353946778303,0.0123907722085245
"hsa-miR-181c-3p",30.9857651833451,-0.61101878843454,0.20392430964086,-2.99630186077683,0.0027327576801035,0.0137776533038551
"hsa-miR-151b",111.699435071575,0.676096680194841,0.226649935595628,2.9829996572383,0.0028543831399823,0.0141486307537922
"hsa-miR-375-3p",560.083327748355,0.857268544170154,0.28830143655308,2.9735146464049,0.00294410355556205,0.0142494612089203
"hsa-miR-146a-5p",3092.91993102857,0.796187597864193,0.300017818769639,2.65380103464963,0.00795907415521061,0.0332085507855339
